Province,Ward,MunicipalityCode,RegisteredVoters_2011,VotesCast_2011,Turnout_2011,RegisteredVoters_2016,VotesCast_2016,Turnout_2016,RegisteredVoters_2021,VotesCast_2021,Turnout_2021,TurnoutDelta_2011_2016,RegistrationGrowth_2011_2016
Eastern Cape,Ward 29200044,BUF,8501,5020,0.5905187624985296,9362,5141,0.5491348002563555,8763,4784,0.5459317585301837,-0.04138396224217411,0.10128220209387129
Eastern Cape,Ward 29200045,BUF,7152,4105,0.5739653243847874,8770,5152,0.5874572405929305,8829,3976,0.4503341261751047,0.013491916208143051,0.22623042505592839
Eastern Cape,Ward 29200046,BUF,8990,5008,0.5570634037819799,8878,5242,0.5904482991664789,9058,3892,0.4296754250386398,0.03338489538449896,-0.012458286985539524
Eastern Cape,Ward 29200047,BUF,7087,2393,0.3376605051502751,7630,2939,0.3851900393184796,8780,1974,0.2248291571753986,0.04752953416820449,0.07661916184563289
Eastern Cape,Ward 29200048,BUF,6642,3808,0.5733212887684432,7508,4097,0.5456846030900373,6892,2809,0.4075739988392339,-0.027636685678405937,0.13038241493526037
Eastern Cape,Ward 29200049,BUF,6722,3866,0.5751264504611723,7989,4122,0.5159594442358243,7623,3753,0.4923258559622196,-0.059167006225347984,0.18848556977090158
Eastern Cape,Ward 29200050,BUF,6437,3607,0.5603542022681374,7352,4610,0.6270402611534276,7317,4125,0.5637556375563756,0.06668605888529022,0.14214696287090267
Eastern Cape,Ward 21001001,EC101,3799,2334,0.6143722032113714,3327,2032,0.6107604448452059,3417,1937,0.5668715247292947,-0.003611758366165563,-0.12424322190050008
Eastern Cape,Ward 21001002,EC101,3693,2261,0.6122393717844571,3231,2183,0.6756422160321882,3218,1784,0.5543816034804226,0.06340284424773113,-0.1251015434606011
Eastern Cape,Ward 21001003,EC101,3320,1788,0.5385542168674698,1944,1303,0.6702674897119342,4250,1212,0.2851764705882353,0.13171327284446432,-0.41445783132530123
Eastern Cape,Ward 21001004,EC101,4105,2229,0.5429963459196102,3398,2028,0.5968216597998823,3121,1353,0.4335148990708106,0.05382531388027212,-0.17222898903775885
Eastern Cape,Ward 21001005,EC101,2841,1476,0.5195353748680043,3534,2158,0.6106395019807583,3992,1564,0.3917835671342685,0.09110412711275406,0.24392819429778245
Eastern Cape,Ward 21001006,EC101,3194,2089,0.6540388227927364,2620,1674,0.6389312977099236,3294,1451,0.4404978749241044,-0.015107525082812767,-0.1797119599248591
Eastern Cape,Ward 21001007,EC101,2212,1377,0.6225135623869801,2097,1129,0.5383881735813066,3357,1734,0.516532618409294,-0.08412538880567344,-0.051989150090415936
Eastern Cape,Ward 21002001,EC102,1767,1014,0.5738539898132428,3363,1725,0.5129348795718108,2702,1417,0.5244263508512214,-0.06091911024143193,0.903225806451613
Eastern Cape,Ward 21002002,EC102,3347,2111,0.6307140723035555,3654,2407,0.6587301587301587,3717,2119,0.5700834005918751,0.02801608642660325,0.09172393187929484
Eastern Cape,Ward 21002003,EC102,2701,1697,0.628285820066642,3209,1924,0.5995637270177625,3136,1558,0.4968112244897959,-0.028722093048879516,0.18807848944835248
Eastern Cape,Ward 21002004,EC102,2722,1696,0.6230712711241734,2858,1769,0.6189643107067879,2781,1667,0.5994246673858324,-0.004106960417385452,0.04996326230712711
Eastern Cape,Ward 21002005,EC102,3370,1946,0.5774480712166172,3167,2130,0.6725607830754657,3078,1587,0.5155945419103314,0.09511271185884851,-0.06023738872403561
Eastern Cape,Ward 21002006,EC102,3544,1851,0.5222911963882618,2121,1217,0.5737859500235738,2453,1057,0.430900937627395,0.051494753635311974,-0.4015237020316027
