Province,Ward,MunicipalityCode,Municipality_2016,Municipality_2021,RegisteredVoters_2016,VotesCast_2016,Turnout_2016,RegisteredVoters_2021,VotesCast_2021,Turnout_2021
Eastern Cape,Ward 21309006,EC139,EC139 - Tsolwana/Inkwanca/Lukanji,EC139 - Enoch Mgijima,3582,1892,0.5281965382467895,3525,1520,0.43120567375886526
Eastern Cape,Ward 21309007,EC139,EC139 - Tsolwana/Inkwanca/Lukanji,EC139 - Enoch Mgijima,3481,1611,0.46279804653835105,2911,1192,0.4094812779113707
Eastern Cape,Ward 21309008,EC139,EC139 - Tsolwana/Inkwanca/Lukanji,EC139 - Enoch Mgijima,3481,1813,0.5208273484630853,3205,1334,0.41622464898595946
Eastern Cape,Ward 21309009,EC139,EC139 - Tsolwana/Inkwanca/Lukanji,EC139 - Enoch Mgijima,2485,1531,0.6160965794768611,3312,1575,0.47554347826086957
Eastern Cape,Ward 21309010,EC139,EC139 - Tsolwana/Inkwanca/Lukanji,EC139 - Enoch Mgijima,4500,2636,0.5857777777777777,3657,2022,0.5529122231337161
Eastern Cape,Ward 21309011,EC139,EC139 - Tsolwana/Inkwanca/Lukanji,EC139 - Enoch Mgijima,3049,1441,0.4726139717940308,4041,1819,0.4501361049245236
Eastern Cape,Ward 21309012,EC139,EC139 - Tsolwana/Inkwanca/Lukanji,EC139 - Enoch Mgijima,3179,1311,0.4123938345391633,3880,1763,0.45438144329896907
Eastern Cape,Ward 21309013,EC139,EC139 - Tsolwana/Inkwanca/Lukanji,EC139 - Enoch Mgijima,3889,2065,0.5309848290048855,3675,1415,0.38503401360544215
Eastern Cape,Ward 21309014,EC139,EC139 - Tsolwana/Inkwanca/Lukanji,EC139 - Enoch Mgijima,4530,2092,0.4618101545253863,3273,1271,0.3883287503819126
Eastern Cape,Ward 21309015,EC139,EC139 - Tsolwana/Inkwanca/Lukanji,EC139 - Enoch Mgijima,3484,1761,0.5054535017221584,3874,1644,0.4243675787299948
Eastern Cape,Ward 21309016,EC139,EC139 - Tsolwana/Inkwanca/Lukanji,EC139 - Enoch Mgijima,3593,1819,0.5062621764542166,3148,1169,0.3713468869123253
Eastern Cape,Ward 21309017,EC139,EC139 - Tsolwana/Inkwanca/Lukanji,EC139 - Enoch Mgijima,3913,1819,0.46486072067467415,3581,1248,0.34850600390952247
Eastern Cape,Ward 21309018,EC139,EC139 - Tsolwana/Inkwanca/Lukanji,EC139 - Enoch Mgijima,4099,2492,0.6079531593071481,4139,2202,0.5320125634211162
Eastern Cape,Ward 21309019,EC139,EC139 - Tsolwana/Inkwanca/Lukanji,EC139 - Enoch Mgijima,4589,2573,0.560688603181521,4025,1979,0.49167701863354035
